@relation 'high_csv-weka.filters.unsupervised.attribute.Remove-R1-3,19-22-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.attribute.Remove-R2-3'

@attribute price numeric
@attribute sqft_living numeric
@attribute waterfront numeric
@attribute view numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute zipcode numeric

@data
645500,2390,0,0,3,10,2390,0,98029
645500,1890,0,0,4,7,1890,0,98117
645500,2990,0,0,3,9,2990,0,98065
646000,2460,0,0,3,9,2460,0,98028
646000,2870,0,0,3,7,1650,1220,98107
646000,2500,0,0,4,8,1600,900,98006
646000,2310,0,0,3,8,2310,0,98117
646800,2230,0,0,3,8,1850,380,98027
647000,3040,0,0,3,8,3040,0,98074
647000,2390,0,0,3,9,2390,0,98075
647500,1290,0,0,5,7,1290,0,98144
647500,1760,0,1,3,8,1560,200,98028
647500,2060,0,0,4,8,1160,900,98166
648000,2620,0,0,3,9,2620,0,98074
648000,2380,0,0,3,10,2380,0,98075
648000,2740,0,0,3,9,2740,0,98029
648000,2170,0,1,4,8,2170,0,98006
648000,1610,0,0,5,8,1610,0,98006
648000,2410,0,0,4,8,2410,0,98006
648000,2210,0,2,3,9,1430,780,98155
648000,3290,0,0,3,9,3290,0,98065
648360,2260,0,1,4,7,1130,1130,98033
648475,2250,0,0,3,8,1200,1050,98109
648752,2060,0,0,5,8,1070,990,98040
649000,3410,0,3,4,10,2450,960,98003
649000,2240,0,0,5,8,1120,1120,98033
649000,2090,0,3,4,8,2090,0,98070
649000,1280,0,0,3,7,1200,80,98115
649000,2980,0,0,3,10,2980,0,98075
649000,2260,0,2,3,9,1890,370,98014
649000,3990,0,0,3,9,2400,1590,98042
649000,1810,1,4,3,8,1810,0,98166
649000,1530,0,0,3,9,1530,0,98107
649000,2730,0,0,3,9,2730,0,98126
649000,3130,0,0,3,9,3130,0,98059
649000,1720,0,0,3,8,1030,690,98112
649500,3730,0,0,4,9,2230,1500,98038
649500,3150,0,0,3,9,3150,0,98056
649800,2280,0,0,3,8,2280,0,98033
649950,3310,0,0,3,8,2160,1150,98038
649950,1500,0,0,3,9,1200,300,98119
649950,2420,0,2,4,8,1210,1210,98117
649950,2150,0,0,4,9,2150,0,98006
649950,1900,0,0,2,7,1200,700,98125
649950,1670,0,0,3,9,1350,320,98116
649950,2350,0,0,4,8,2350,0,98077
649950,2440,0,1,3,8,2440,0,98117
649950,2420,0,0,3,9,2420,0,98133
649990,2130,0,0,3,9,2130,0,98074
650000,2950,0,3,3,9,1980,970,98126
650000,2150,0,3,4,8,1590,560,98166
650000,3960,0,0,3,9,2500,1460,98056
650000,1510,0,0,3,9,1330,180,98116
650000,3180,0,0,3,9,3180,0,98065
650000,3040,0,0,3,7,3040,0,98053
650000,2550,0,0,5,8,2550,0,98122
650000,1870,0,0,4,8,1230,640,98199
650000,2690,0,3,3,8,2130,560,98028
650000,2010,0,1,4,7,1300,710,98116
650000,3610,0,0,4,8,3610,0,98008
650000,1340,0,0,3,7,1340,0,98103
650000,2208,0,0,5,8,2208,0,98116
650000,1710,0,0,4,7,1560,150,98103
650000,3350,0,0,3,10,3350,0,98010
650000,2520,0,0,3,8,1790,730,98116
650000,5110,0,0,3,10,3850,1260,98034
650000,2190,0,0,3,9,2190,0,98029
650000,1630,0,1,3,7,1160,470,98115
650000,2800,0,0,3,7,1400,1400,98125
650000,2540,0,0,4,8,1880,660,98177
650000,1660,0,0,4,7,1240,420,98177
650000,1300,0,0,4,7,1300,0,98004
650000,1380,0,0,3,7,1080,300,98107
650000,2530,0,0,3,8,1720,810,98115
650000,2640,0,0,3,9,2640,0,98075
650000,2330,0,1,3,8,1600,730,98177
