id,date,mean_price,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1150000340,20141118T000000,high,645500,4,2.5,2390,9638,2,0,0,3,10,2390,0,1988,0,98029,475598,-122018,2630,9258
7518502210,20140530T000000,high,645500,2,1,1890,5202,1.5,0,0,4,7,1890,0,1909,0,98117,476786,-122379,1670,5100
7852110740,20141112T000000,high,645500,4,2.5,2990,8622,2,0,0,3,9,2990,0,2000,0,98065,475394,-121875,2980,8622
1472330030,20150324T000000,high,646000,3,2.75,2460,6413,2,0,0,3,9,2460,0,2004,0,98028,477497,-122245,2440,6092
4242900215,20140618T000000,high,646000,5,2.75,2870,4461,1,0,0,3,7,1650,1220,1976,0,98107,47675,-122.39,1890,4196
9346920260,20140604T000000,high,646000,4,2.25,2500,8500,1,0,0,4,8,1600,900,1978,0,98006,475615,-122131,2290,8927
3501600114,20140619T000000,high,646000,4,2.5,2310,4079,2,0,0,3,8,2310,0,2008,0,98117,476937,-122361,1220,4800
3629700020,20150415T000000,high,646800,3,3,2230,1407,2.5,0,0,3,8,1850,380,2014,0,98027,475446,-122017,2230,1407
8961970190,20140512T000000,high,647000,4,2.5,3040,6887,2,0,0,3,8,3040,0,1999,0,98074,476073,-122015,2790,7196
2782100260,20150303T000000,high,647000,4,2.5,2390,5800,2,0,0,3,9,2390,0,2000,0,98075,475965,-122038,2590,6507
1250202255,20140605T000000,high,647500,3,1.75,1290,3870,1,0,0,5,7,1290,0,1916,0,98144,475873,-122.29,2020,5850
8832900780,20150408T000000,high,647500,5,2,1760,21562,1,0,1,3,8,1560,200,1959,0,98028,477597,-122263,2150,12676
1200019,20140508T000000,high,647500,4,1.75,2060,26036,1,0,0,4,8,1160,900,1947,0,98166,474444,-122351,2590,21891
1703050200,20140806T000000,high,648000,4,2.5,2620,5450,2,0,0,3,9,2620,0,2001,0,98074,476301,-122019,2590,5371
2553300030,20140609T000000,high,648000,4,2.5,2380,13435,2,0,0,3,10,2380,0,1992,0,98075,475833,-122028,2730,9677
3904920980,20140909T000000,high,648000,4,2.5,2740,9959,2,0,0,3,9,2740,0,1989,0,98029,475672,-122011,2630,9905
1687900170,20150325T000000,high,648000,4,2.25,2170,8240,2,0,1,4,8,2170,0,1983,0,98006,475634,-122128,2600,9898
6071400710,20150429T000000,high,648000,3,1.75,1610,10229,1,0,0,5,8,1610,0,1961,0,98006,47553,-122174,2270,8800
6072100790,20150408T000000,high,648000,5,2.25,2410,12000,2,0,0,4,8,2410,0,1973,0,98006,475434,-122175,2080,12000
4036400040,20150209T000000,high,648000,5,2.5,2210,10772,1,0,2,3,9,1430,780,1964,0,98155,477383,-122288,2720,9858
7853350090,20140604T000000,high,648000,4,2.5,3290,6203,2,0,0,3,9,3290,0,2008,0,98065,475441,-121.86,2990,6835
1245001295,20140522T000000,high,648360,4,1.75,2260,7005,1,0,1,4,7,1130,1130,1947,0,98033,476895,-122207,2330,9180
3528900980,20140523T000000,high,648475,4,2.75,2250,5700,1,0,0,3,8,1200,1050,1951,0,98109,476406,-122344,1720,3850
5459000305,20150408T000000,high,648752,3,2.25,2060,9953,1,0,0,5,8,1070,990,1964,0,98040,475767,-122233,2340,9600
5152920070,20140731T000000,high,649000,3,2.5,3410,13809,1,0,3,4,10,2450,960,1973,0,98003,473424,-122326,3410,14245
9170500060,20140818T000000,high,649000,4,2,2240,11040,1,0,0,5,8,1120,1120,1961,0,98033,47693,-122168,1790,11040
8886000005,20150309T000000,high,649000,2,2.75,2090,23962,2,0,3,4,8,2090,0,1988,0,98070,474145,-122.44,1820,32340
