@relation 'low_csv-weka.filters.unsupervised.attribute.Remove-R1-3,5,17,19-22-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R2'

@attribute price numeric
@attribute sqft_living numeric
@attribute sqft_lot numeric
@attribute floors numeric
@attribute waterfront numeric
@attribute view numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute zipcode numeric

@data
75000,670,43377,1,0,0,3,3,670,0,98022
78000,780,16344,1,0,0,1,5,780,0,98168
80000,430,5050,1,0,0,2,4,430,0,98014
81000,730,9975,1,0,0,1,5,730,0,98168
82000,860,10426,1,0,0,3,6,860,0,98146
82500,520,22334,1,0,0,2,5,520,0,98168
83000,900,8580,1,0,0,3,5,900,0,98168
84000,700,20130,1,0,0,3,6,700,0,98168
85000,830,9000,1,0,0,3,6,830,0,98032
85000,910,9753,1,0,0,3,5,910,0,98032
86500,840,9480,1,0,0,3,6,840,0,98023
89000,900,4750,1,0,0,4,6,900,0,98023
89950,570,4080,1,0,0,3,5,570,0,98146
90000,780,4000,1,0,0,3,5,780,0,98108
90000,790,2640,1,0,0,3,7,790,0,98034
90000,560,4120,1,0,0,3,4,560,0,98106
90000,580,7500,1,0,0,3,5,580,0,98178
90000,980,2490,2,0,0,4,6,980,0,98092
92000,760,5500,1.5,0,0,3,5,760,0,98168
95000,800,8550,1,0,0,3,7,800,0,98198
95000,760,5746,1,0,0,4,5,760,0,98002
95000,1070,20450,1,0,0,2,6,1070,0,98058
95000,960,7000,1,0,0,3,4,960,0,98198
96500,840,12091,1,0,0,3,6,840,0,98023
99000,960,8236,1,0,0,2,6,960,0,98058
100000,770,17334,1,0,0,3,7,770,0,98001
100000,790,6426,1,0,0,3,6,790,0,98178
100000,930,7623,1,0,0,2,6,930,0,98166
100000,1120,2685,1,0,0,3,5,860,260,98055
100000,910,22000,1,0,0,3,6,910,0,98001
100000,660,5240,1,0,0,4,4,660,0,98032
102500,820,4320,1,0,0,3,5,820,0,98106
104950,1170,8254,1,0,0,2,6,1170,0,98146
105000,840,8400,1,0,0,3,6,840,0,98023
105000,880,18109,1,0,0,4,6,880,0,98042
105500,930,7740,1,0,0,1,5,930,0,98148
106000,560,5700,1,0,0,3,5,560,0,98146
107000,670,4720,1,0,0,4,6,670,0,98106
107000,910,5120,1,0,0,3,6,910,0,98106
109000,580,6900,1,0,0,3,5,580,0,98118
109500,800,10625,1,0,0,3,6,800,0,98168
110000,830,7590,1,0,0,2,6,830,0,98166
110000,760,4746,1,0,0,3,5,760,0,98055
110000,790,8250,1,0,0,3,6,790,0,98188
110000,640,10280,1,0,0,2,5,640,0,98126
110000,800,15000,1,0,0,3,6,800,0,98168
110000,600,6120,1,0,0,3,5,600,0,98168
110000,1250,53143,1,0,0,5,6,1250,0,98038
110000,828,4524,1,0,0,3,6,828,0,98001
110700,680,8064,1,0,0,3,6,680,0,98188
111300,1060,6000,1,0,0,4,5,1060,0,98002
112000,1080,3230,1,0,0,3,6,1080,0,98002
114000,730,5200,1,0,0,3,6,730,0,98146
114975,740,6250,1,0,0,3,6,740,0,98146
115000,1000,16524,1,0,0,3,5,1000,0,98001
115000,1150,9812,1,0,0,4,7,1150,0,98001
115000,1080,7942,1,0,0,3,7,1080,0,98023
115000,790,7252,1,0,0,3,5,790,0,98146
115000,1080,6250,1,0,0,2,5,1080,0,98168
115000,940,6000,1,0,0,3,6,940,0,98146
115000,550,7980,1,0,0,3,5,550,0,98146
118000,670,7957,1,0,0,4,6,670,0,98038
