@relation 'mid_csv-weka.filters.unsupervised.attribute.Remove-R1-3,5,16-17,19-22-weka.filters.unsupervised.attribute.Remove-R2'

@attribute price numeric
@attribute sqft_living numeric
@attribute sqft_lot numeric
@attribute floors numeric
@attribute waterfront numeric
@attribute view numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute zipcode numeric

@data
430100,1400,1078,2,0,0,3,8,940,460,98144
430236,3444,5166,2,0,0,3,8,2714,730,98023
430760,2710,4685,2,0,0,3,8,2710,0,98038
431000,1810,7200,1,0,0,4,7,1130,680,98133
431000,1630,9000,1,0,0,4,7,1630,0,98166
431000,1710,12677,2,0,0,3,8,1710,0,98028
431000,1300,4000,1.5,0,0,4,6,1300,0,98144
431000,2360,14950,1,0,0,4,9,2360,0,98042
431000,1830,8831,1,0,0,3,7,1460,370,98034
431000,1000,6500,1,0,0,4,7,1000,0,98136
431000,1660,12865,1,0,0,5,7,1660,0,98056
431000,1690,2752,2,0,0,3,8,1690,0,98052
431000,1390,12530,1,0,0,3,8,970,420,98155
431000,1450,3600,1.5,0,0,3,7,1250,200,98144
431000,2300,6087,2,0,0,3,7,2300,0,98056
431000,1500,6240,1,0,0,4,7,1500,0,98125
431000,2170,10500,1,0,2,4,8,1270,900,98166
431000,2440,71002,1,0,0,4,9,2440,0,98022
431000,3040,6000,2,0,0,3,9,3040,0,98038
431200,1360,10609,1,0,0,3,7,1060,300,98034
431500,1370,4866,1,0,0,3,8,1370,0,98053
431500,1900,1612,2,0,0,3,8,1430,470,98136
431650,1710,7700,1.5,0,0,3,7,1710,0,98007
431750,1400,10052,1,0,0,3,8,1400,0,98125
432000,1750,12528,1,0,0,4,7,1750,0,98072
432000,2410,51763,1,0,0,4,8,1410,1000,98077
432000,1400,6380,1,0,0,4,7,700,700,98125
432000,1470,6250,1,0,3,4,7,1070,400,98155
432000,1920,9812,2,0,0,3,8,1920,0,98028
432000,1470,1578,2,0,0,3,8,1090,380,98136
432000,2190,13673,1,0,0,4,9,2190,0,98042
432000,2820,13059,2,0,0,4,8,2820,0,98058
432000,2410,8400,1,0,0,3,7,1600,810,98011
432000,960,3235,1,0,0,4,7,960,0,98103
432000,1870,7080,1,0,0,4,7,1210,660,98034
432000,1970,5160,1.5,0,0,3,7,1970,0,98126
432000,2060,329903,1.5,0,3,5,7,2060,0,98022
432000,1550,8134,1,0,0,4,7,1550,0,98008
432000,1970,4036,2,0,0,4,7,1970,0,98065
432000,1660,15000,1,0,0,4,7,1660,0,98075
432000,2200,14925,1,0,0,3,6,1100,1100,98053
432100,1790,2240,2,0,0,4,8,1790,0,98052
432100,1840,7350,1,0,0,3,8,1310,530,98034
432250,1440,6232,2,0,0,3,7,1440,0,98029
432500,1720,8145,2,0,0,5,7,1720,0,98155
432500,2390,6435,1,0,0,3,8,1600,790,98034
432500,1930,7120,1,0,0,4,7,1420,510,98133
432500,1980,5100,1,0,0,3,7,1270,710,98103
432500,1940,10800,1,0,0,3,8,1340,600,98077
432500,1470,7350,1,0,0,3,8,1470,0,98052
432500,2240,6396,2,0,0,3,7,2240,0,98065
432500,1500,1856,1,0,0,5,7,750,750,98144
432500,1340,8867,2,0,0,3,8,1340,0,98125
432500,3080,5500,2,0,0,1,7,3080,0,98122
432500,2500,6000,2,0,0,3,8,2500,0,98058
432500,3172,5033,2,0,0,3,8,3172,0,98023
432900,2210,9226,2,0,0,3,8,2210,0,98045
433000,2160,8565,1,0,0,3,8,1730,430,98028
433000,1920,7200,1,0,0,3,7,1300,620,98028
433000,1840,4760,1.5,0,0,4,6,1080,760,98106
433000,1830,9600,1,0,0,4,7,1010,820,98006
433000,2000,7200,1,0,0,3,7,1000,1000,98166
433000,2280,7568,2,0,0,4,7,2280,0,98056
433000,1710,7000,1.5,0,0,3,7,1710,0,98125
433000,1870,7189,1,0,0,3,7,1270,600,98118
433000,1550,5053,1,0,0,4,7,1180,370,98118
433000,1270,1062,2,0,0,3,8,1060,210,98105
433190,1650,2787,2,0,0,3,8,1650,0,98065
433200,2075,16200,2,0,0,3,8,2075,0,98045
433495,3010,10925,2,0,0,4,9,3010,0,98092
433500,1230,6000,1,0,0,4,7,780,450,98115
